file_name,/JS,/AA,/OpenAction,/AcroForm,/RichMedia,/Launch,/EmbeddedFile,/XFA,/URI,/F,/GoToE,/Extends,/Annot,/Length,/Filter,/FlateDecode,/XObject,/Encrypt,/CreationDate,/Author,subject,/ModDate,html,Script,powershell.exe,cmd.exe,ascii_c,sys,root,reg,exe,http,domain,filepath,ascii,xml,dll,unescape,%u9090%u9090,getIcon,temptmp,eval,%appdata%,chunk,base64,mkdir,replace,fromCharCode,getAnnots,ip,xref_size,trailer_size,file_size,nof_stream,class
file_066,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24,19,7,0,0,1,1,0,1,6,0,0,0,6,0,0,2,6,7,27,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,533.512,73,0
file_067,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,12.329,4,1
file_068,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,2,0,0,0,0,0,0,1,0,1,2,3,0,2,0,0,0,1,2,0,0,0,0,2,1,0,1,0,0,7.99,10,1
file_069,0,0,0,2,0,0,0,0,0,0,0,2,0,0,36,34,2,0,0,1,11,0,1,8,0,0,0,6,2,0,3,2,19,39,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,67.17,104,0
file_070,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,7,0,0,2,2,1,1,1,2,0,0,0,0,0,0,1,3,9,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,136,255,50.377,20,0
file_071,0,0,0,0,0,0,0,0,16,16,0,0,0,27,112,105,91,0,2,2,6,1,8,10,0,0,0,8,9,0,2,14,19,114,190,4,7,0,0,0,7,0,0,0,0,0,0,0,0,30,2236,4472,2228.579,319,0
file_072,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,8.292,9,1
file_073,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,0,1,0,0,0,0,0,0,0,1,0,1,2,2,0,0,1,0,0,1,2,0,0,0,0,2,1,0,3,10,10,9.124,9,1
file_074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,2,2,4,1,1,3,0,0,0,0,0,0,2,2,7,15,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,54,99,25.17,42,0
file_075,0,0,0,0,0,0,0,0,1,1,0,0,1,0,14,13,3,0,2,2,2,1,1,3,0,0,0,0,2,0,1,4,7,16,20,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,76,131,30.615,39,0
