BodyText_Section0
[('[0x000041C7]',), 72, 4, '0x2f', 47]
[('[0x0000419F]',), 69, 5, '0x24', 36]
[('[0x00004193]',), 68, 5, '0x8', 8]
[('[0x00004167]',), 67, 5, '0x28', 40]
[('[0x0000414B]',), 66, 4, '0x18', 24]
[('[0x00004118]',), 72, 4, '0x2f', 47]
[('[0x000040F0]',), 69, 5, '0x24', 36]
[('[0x000040E4]',), 68, 5, '0x8', 8]
[('[0x000040DA]',), 67, 5, '0x6', 6]
[('[0x000040BE]',), 66, 4, '0x18', 24]
[('[0x0000408B]',), 72, 4, '0x2f', 47]
[('[0x00004063]',), 69, 5, '0x24', 36]
[('[0x00004057]',), 68, 5, '0x8', 8]
[('[0x0000404D]',), 67, 5, '0x6', 6]
[('[0x00004031]',), 66, 4, '0x18', 24]
[('[0x00003FFE]',), 72, 4, '0x2f', 47]
[('[0x00003FD6]',), 69, 5, '0x24', 36]
[('[0x00003FCA]',), 68, 5, '0x8', 8]
[('[0x00003FC0]',), 67, 5, '0x6', 6]
[('[0x00003FA4]',), 66, 4, '0x18', 24]
[('[0x00003F71]',), 72, 4, '0x2f', 47]
[('[0x00003F49]',), 69, 5, '0x24', 36]
[('[0x00003F3D]',), 68, 5, '0x8', 8]
[('[0x00003F23]',), 67, 5, '0x16', 22]
[('[0x00003F07]',), 66, 4, '0x18', 24]
[('[0x00003ED4]',), 72, 4, '0x2f', 47]
[('[0x00003EAC]',), 69, 5, '0x24', 36]
[('[0x00003EA0]',), 68, 5, '0x8', 8]
[('[0x00003E90]',), 67, 5, '0xc', 12]
[('[0x00003E74]',), 66, 4, '0x18', 24]
[('[0x00003E41]',), 72, 4, '0x2f', 47]
[('[0x00003E19]',), 69, 5, '0x24', 36]
[('[0x00003E0D]',), 68, 5, '0x8', 8]
[('[0x00003DE9]',), 67, 5, '0x20', 32]
[('[0x00003DCD]',), 66, 4, '0x18', 24]
[('[0x00003D9A]',), 72, 4, '0x2f', 47]
[('[0x00003D72]',), 69, 5, '0x24', 36]
[('[0x00003D66]',), 68, 5, '0x8', 8]
[('[0x00003D5C]',), 67, 5, '0x6', 6]
[('[0x00003D40]',), 66, 4, '0x18', 24]
[('[0x00003D0D]',), 72, 4, '0x2f', 47]
[('[0x00003CE5]',), 69, 5, '0x24', 36]
[('[0x00003CD9]',), 68, 5, '0x8', 8]
[('[0x00003CCF]',), 67, 5, '0x6', 6]
[('[0x00003CB3]',), 66, 4, '0x18', 24]
[('[0x00003C80]',), 72, 4, '0x2f', 47]
[('[0x00003C58]',), 69, 5, '0x24', 36]
[('[0x00003C4C]',), 68, 5, '0x8', 8]
[('[0x00003C42]',), 67, 5, '0x6', 6]
[('[0x00003C26]',), 66, 4, '0x18', 24]
[('[0x00003BF3]',), 72, 4, '0x2f', 47]
[('[0x00003BCB]',), 69, 5, '0x24', 36]
[('[0x00003BBF]',), 68, 5, '0x8', 8]
[('[0x00003BA5]',), 67, 5, '0x16', 22]
[('[0x00003B89]',), 66, 4, '0x18', 24]
[('[0x00003B56]',), 72, 4, '0x2f', 47]
[('[0x00003B2E]',), 69, 5, '0x24', 36]
[('[0x00003B22]',), 68, 5, '0x8', 8]
[('[0x00003AFA]',), 67, 5, '0x24', 36]
[('[0x00003ADE]',), 66, 4, '0x18', 24]
[('[0x00003AAB]',), 72, 4, '0x2f', 47]
[('[0x00003A83]',), 69, 5, '0x24', 36]
[('[0x00003A77]',), 68, 5, '0x8', 8]
[('[0x00003A4D]',), 67, 5, '0x26', 38]
[('[0x00003A31]',), 66, 4, '0x18', 24]
[('[0x000039FE]',), 72, 4, '0x2f', 47]
[('[0x000039D6]',), 69, 5, '0x24', 36]
[('[0x000039CA]',), 68, 5, '0x8', 8]
[('[0x000039C0]',), 67, 5, '0x6', 6]
[('[0x000039A4]',), 66, 4, '0x18', 24]
[('[0x00003971]',), 72, 4, '0x2f', 47]
[('[0x00003949]',), 69, 5, '0x24', 36]
[('[0x0000393D]',), 68, 5, '0x8', 8]
[('[0x00003933]',), 67, 5, '0x6', 6]
[('[0x00003917]',), 66, 4, '0x18', 24]
[('[0x000038E4]',), 72, 4, '0x2f', 47]
[('[0x000038BC]',), 69, 5, '0x24', 36]
[('[0x000038B0]',), 68, 5, '0x8', 8]
[('[0x000038A6]',), 67, 5, '0x6', 6]
[('[0x0000388A]',), 66, 4, '0x18', 24]
[('[0x00003857]',), 72, 4, '0x2f', 47]
[('[0x0000382F]',), 69, 5, '0x24', 36]
[('[0x00003823]',), 68, 5, '0x8', 8]
[('[0x00003809]',), 67, 5, '0x16', 22]
[('[0x000037ED]',), 66, 4, '0x18', 24]
[('[0x000037BA]',), 72, 4, '0x2f', 47]
[('[0x00003792]',), 69, 5, '0x24', 36]
[('[0x00003786]',), 68, 5, '0x8', 8]
[('[0x0000375E]',), 67, 5, '0x24', 36]
[('[0x00003742]',), 66, 4, '0x18', 24]
[('[0x0000370F]',), 72, 4, '0x2f', 47]
[('[0x000036E7]',), 69, 5, '0x24', 36]
[('[0x000036DB]',), 68, 5, '0x8', 8]
[('[0x000036B5]',), 67, 5, '0x22', 34]
[('[0x00003699]',), 66, 4, '0x18', 24]
[('[0x00003666]',), 72, 4, '0x2f', 47]
[('[0x0000363E]',), 69, 5, '0x24', 36]
[('[0x00003632]',), 68, 5, '0x8', 8]
[('[0x00003626]',), 67, 5, '0x8', 8]
[('[0x0000360A]',), 66, 4, '0x18', 24]
[('[0x000035D7]',), 72, 4, '0x2f', 47]
[('[0x000035AF]',), 69, 5, '0x24', 36]
[('[0x000035A3]',), 68, 5, '0x8', 8]
[('[0x00003593]',), 67, 5, '0xc', 12]
[('[0x00003577]',), 66, 4, '0x18', 24]
[('[0x00003544]',), 72, 4, '0x2f', 47]
[('[0x0000351C]',), 69, 5, '0x24', 36]
[('[0x00003510]',), 68, 5, '0x8', 8]
[('[0x00003500]',), 67, 5, '0xc', 12]
[('[0x000034E4]',), 66, 4, '0x18', 24]
[('[0x000034B1]',), 72, 4, '0x2f', 47]
[('[0x00003489]',), 69, 5, '0x24', 36]
[('[0x0000347D]',), 68, 5, '0x8', 8]
[('[0x00003473]',), 67, 5, '0x6', 6]
[('[0x00003457]',), 66, 4, '0x18', 24]
[('[0x00003424]',), 72, 4, '0x2f', 47]
[('[0x000033FC]',), 69, 5, '0x24', 36]
[('[0x000033F0]',), 68, 5, '0x8', 8]
[('[0x000033E0]',), 67, 5, '0xc', 12]
[('[0x000033C4]',), 66, 4, '0x18', 24]
[('[0x00003391]',), 72, 4, '0x2f', 47]
[('[0x00003369]',), 69, 5, '0x24', 36]
[('[0x0000335D]',), 68, 5, '0x8', 8]
[('[0x0000334F]',), 67, 5, '0xa', 10]
[('[0x00003333]',), 66, 4, '0x18', 24]
[('[0x00003300]',), 72, 4, '0x2f', 47]
[('[0x000032D8]',), 77, 4, '0x24', 36]
[('[0x000032C4]',), 71, 5, '0x10', 16]
[('[0x0000329C]',), 69, 5, '0x24', 36]
[('[0x00003290]',), 68, 5, '0x8', 8]
[('[0x00003248]',), 67, 5, '0x44', 68]
[('[0x0000322C]',), 66, 4, '0x18', 24]
[('[0x0000320A]',), 72, 4, '0x1e', 30]
[('[0x000031D8]',), 71, 3, '0x2e', 46]
[('[0x000031B0]',), 69, 3, '0x24', 36]
[('[0x000031A4]',), 68, 3, '0x8', 8]
[('[0x0000318E]',), 67, 3, '0x12', 18]
[('[0x00003172]',), 66, 2, '0x18', 24]
[('[0x0000314A]',), 69, 3, '0x24', 36]
[('[0x0000313E]',), 68, 3, '0x8', 8]
[('[0x000030C6]',), 67, 3, '0x74', 116]
[('[0x000030AA]',), 66, 2, '0x18', 24]
[('[0x00003082]',), 69, 3, '0x24', 36]
[('[0x00003076]',), 68, 3, '0x8', 8]
[('[0x00003002]',), 67, 3, '0x70', 112]
[('[0x00002FE6]',), 66, 2, '0x18', 24]
[('[0x00002FBE]',), 69, 3, '0x24', 36]
[('[0x00002FB2]',), 68, 3, '0x8', 8]
[('[0x00002F30]',), 67, 3, '0x7e', 126]
[('[0x00002F14]',), 66, 2, '0x18', 24]
[('[0x00002EEC]',), 69, 3, '0x24', 36]
[('[0x00002EE0]',), 68, 3, '0x8', 8]
[('[0x00002E90]',), 67, 3, '0x4c', 76]
[('[0x00002E74]',), 66, 2, '0x18', 24]
[('[0x00002E4C]',), 69, 3, '0x24', 36]
[('[0x00002E40]',), 68, 3, '0x8', 8]
[('[0x00002DD2]',), 67, 3, '0x6a', 106]
[('[0x00002DB6]',), 66, 2, '0x18', 24]
[('[0x00002D8E]',), 69, 3, '0x24', 36]
[('[0x00002D82]',), 68, 3, '0x8', 8]
[('[0x00002D32]',), 67, 3, '0x4c', 76]
[('[0x00002D16]',), 66, 2, '0x18', 24]
[('[0x00002CEE]',), 69, 3, '0x24', 36]
[('[0x00002CE2]',), 68, 3, '0x8', 8]
[('[0x00002C66]',), 67, 3, '0x78', 120]
