BodyText_Section0
[('[0x0000D7FA]',), 66, 0, '0x18', 24]
[('[0x0000D7D2]',), 69, 1, '0x24', 36]
[('[0x0000D7C6]',), 68, 1, '0x8', 8]
[('[0x0000D784]',), 67, 1, '0x3e', 62]
[('[0x0000D768]',), 66, 0, '0x18', 24]
[('[0x0000D740]',), 69, 1, '0x24', 36]
[('[0x0000D734]',), 68, 1, '0x8', 8]
[('[0x0000D6E0]',), 67, 1, '0x50', 80]
[('[0x0000D6C4]',), 66, 0, '0x18', 24]
[('[0x0000D69C]',), 69, 1, '0x24', 36]
[('[0x0000D690]',), 68, 1, '0x8', 8]
[('[0x0000D64E]',), 67, 1, '0x3e', 62]
[('[0x0000D632]',), 66, 0, '0x18', 24]
[('[0x0000D60A]',), 69, 1, '0x24', 36]
[('[0x0000D5FE]',), 68, 1, '0x8', 8]
[('[0x0000D5B6]',), 67, 1, '0x44', 68]
[('[0x0000D59A]',), 66, 0, '0x18', 24]
[('[0x0000D572]',), 69, 1, '0x24', 36]
[('[0x0000D566]',), 68, 1, '0x8', 8]
[('[0x0000D524]',), 67, 1, '0x3e', 62]
[('[0x0000D508]',), 66, 0, '0x18', 24]
[('[0x0000D4E0]',), 69, 1, '0x24', 36]
[('[0x0000D4D4]',), 68, 1, '0x8', 8]
[('[0x0000D48C]',), 67, 1, '0x44', 68]
[('[0x0000D470]',), 66, 0, '0x18', 24]
[('[0x0000D448]',), 69, 1, '0x24', 36]
[('[0x0000D43C]',), 68, 1, '0x8', 8]
[('[0x0000D3FA]',), 67, 1, '0x3e', 62]
[('[0x0000D3DE]',), 66, 0, '0x18', 24]
[('[0x0000D3B6]',), 69, 1, '0x24', 36]
[('[0x0000D3AA]',), 68, 1, '0x8', 8]
[('[0x0000D360]',), 67, 1, '0x46', 70]
[('[0x0000D344]',), 66, 0, '0x18', 24]
[('[0x0000D31C]',), 69, 1, '0x24', 36]
[('[0x0000D310]',), 68, 1, '0x8', 8]
[('[0x0000D2CE]',), 67, 1, '0x3e', 62]
[('[0x0000D2B2]',), 66, 0, '0x18', 24]
[('[0x0000D28A]',), 69, 1, '0x24', 36]
[('[0x0000D27E]',), 68, 1, '0x8', 8]
[('[0x0000D242]',), 67, 1, '0x38', 56]
[('[0x0000D226]',), 66, 0, '0x18', 24]
[('[0x0000D1FE]',), 69, 1, '0x24', 36]
[('[0x0000D1F2]',), 68, 1, '0x8', 8]
[('[0x0000D1B2]',), 67, 1, '0x3c', 60]
[('[0x0000D196]',), 66, 0, '0x18', 24]
