BodyText_Section0
[('[0x00064A8C]',), 69, 5, '0x24', 36]
[('[0x00064A80]',), 68, 5, '0x8', 8]
[('[0x00064A6A]',), 67, 5, '0x12', 18]
[('[0x00064A4E]',), 66, 4, '0x18', 24]
[('[0x00064A1B]',), 72, 4, '0x2f', 47]
[('[0x000649F3]',), 69, 5, '0x24', 36]
[('[0x000649E7]',), 68, 5, '0x8', 8]
[('[0x000649C9]',), 67, 5, '0x1a', 26]
[('[0x000649AD]',), 66, 4, '0x18', 24]
[('[0x0006497A]',), 72, 4, '0x2f', 47]
[('[0x00064952]',), 69, 5, '0x24', 36]
[('[0x00064946]',), 68, 5, '0x8', 8]
[('[0x0006492E]',), 67, 5, '0x14', 20]
[('[0x00064912]',), 66, 4, '0x18', 24]
[('[0x000648DF]',), 72, 4, '0x2f', 47]
[('[0x000648B7]',), 69, 5, '0x24', 36]
[('[0x000648AB]',), 68, 5, '0x8', 8]
[('[0x00064897]',), 67, 5, '0x10', 16]
[('[0x0006487B]',), 66, 4, '0x18', 24]
[('[0x00064848]',), 72, 4, '0x2f', 47]
[('[0x00064820]',), 69, 5, '0x24', 36]
[('[0x00064814]',), 68, 5, '0x8', 8]
[('[0x000647FA]',), 67, 5, '0x16', 22]
[('[0x000647DE]',), 66, 4, '0x18', 24]
[('[0x000647AB]',), 72, 4, '0x2f', 47]
[('[0x00064783]',), 69, 5, '0x24', 36]
[('[0x00064777]',), 68, 5, '0x8', 8]
[('[0x00064761]',), 67, 5, '0x12', 18]
[('[0x00064745]',), 66, 4, '0x18', 24]
[('[0x00064712]',), 72, 4, '0x2f', 47]
[('[0x000646EA]',), 69, 5, '0x24', 36]
[('[0x000646DE]',), 68, 5, '0x8', 8]
[('[0x000646C8]',), 67, 5, '0x12', 18]
[('[0x000646AC]',), 66, 4, '0x18', 24]
[('[0x00064679]',), 72, 4, '0x2f', 47]
[('[0x00064651]',), 69, 5, '0x24', 36]
[('[0x00064645]',), 68, 5, '0x8', 8]
[('[0x00064631]',), 67, 5, '0x10', 16]
[('[0x00064615]',), 66, 4, '0x18', 24]
[('[0x000645E2]',), 72, 4, '0x2f', 47]
[('[0x000645BA]',), 69, 5, '0x24', 36]
[('[0x000645AE]',), 68, 5, '0x8', 8]
[('[0x00064598]',), 67, 5, '0x12', 18]
[('[0x0006457C]',), 66, 4, '0x18', 24]
[('[0x00064549]',), 72, 4, '0x2f', 47]
[('[0x00064521]',), 69, 5, '0x24', 36]
[('[0x00064515]',), 68, 5, '0x8', 8]
[('[0x000644FD]',), 67, 5, '0x14', 20]
[('[0x000644E1]',), 66, 4, '0x18', 24]
[('[0x000644AE]',), 72, 4, '0x2f', 47]
[('[0x00064486]',), 69, 5, '0x24', 36]
[('[0x00064472]',), 68, 5, '0x10', 16]
[('[0x00064458]',), 67, 5, '0x16', 22]
[('[0x0006443C]',), 66, 4, '0x18', 24]
[('[0x00064409]',), 72, 4, '0x2f', 47]
[('[0x000643E1]',), 69, 5, '0x24', 36]
[('[0x000643CD]',), 68, 5, '0x10', 16]
[('[0x000643B7]',), 67, 5, '0x12', 18]
[('[0x0006439B]',), 66, 4, '0x18', 24]
[('[0x00064368]',), 72, 4, '0x2f', 47]
[('[0x00064340]',), 69, 5, '0x24', 36]
[('[0x0006432C]',), 68, 5, '0x10', 16]
[('[0x00064316]',), 67, 5, '0x12', 18]
[('[0x000642FA]',), 66, 4, '0x18', 24]
[('[0x000642C7]',), 72, 4, '0x2f', 47]
[('[0x0006429F]',), 69, 5, '0x24', 36]
[('[0x0006428B]',), 68, 5, '0x10', 16]
[('[0x00064275]',), 67, 5, '0x12', 18]
[('[0x00064259]',), 66, 4, '0x18', 24]
[('[0x00064226]',), 72, 4, '0x2f', 47]
[('[0x000641FE]',), 69, 5, '0x24', 36]
[('[0x000641EA]',), 68, 5, '0x10', 16]
[('[0x000641D4]',), 67, 5, '0x12', 18]
[('[0x000641B8]',), 66, 4, '0x18', 24]
[('[0x00064185]',), 72, 4, '0x2f', 47]
[('[0x0006415D]',), 69, 5, '0x24', 36]
[('[0x00064149]',), 68, 5, '0x10', 16]
[('[0x00064131]',), 67, 5, '0x14', 20]
[('[0x00064115]',), 66, 4, '0x18', 24]
[('[0x000640E2]',), 72, 4, '0x2f', 47]
[('[0x000640BA]',), 69, 5, '0x24', 36]
[('[0x000640A6]',), 68, 5, '0x10', 16]
[('[0x00064086]',), 67, 5, '0x1c', 28]
[('[0x0006406A]',), 66, 4, '0x18', 24]
[('[0x00064037]',), 72, 4, '0x2f', 47]
[('[0x0006400F]',), 69, 5, '0x24', 36]
[('[0x00063FFB]',), 68, 5, '0x10', 16]
[('[0x00063FE7]',), 67, 5, '0x10', 16]
[('[0x00063FCB]',), 66, 4, '0x18', 24]
[('[0x00063F98]',), 72, 4, '0x2f', 47]
[('[0x00063F70]',), 69, 5, '0x24', 36]
[('[0x00063F5C]',), 68, 5, '0x10', 16]
[('[0x00063F40]',), 67, 5, '0x18', 24]
[('[0x00063F24]',), 66, 4, '0x18', 24]
[('[0x00063EF1]',), 72, 4, '0x2f', 47]
[('[0x00063EC9]',), 69, 5, '0x24', 36]
[('[0x00063EB5]',), 68, 5, '0x10', 16]
[('[0x00063E9D]',), 67, 5, '0x14', 20]
[('[0x00063E81]',), 66, 4, '0x18', 24]
[('[0x00063E4E]',), 72, 4, '0x2f', 47]
[('[0x00063E26]',), 69, 5, '0x24', 36]
[('[0x00063E12]',), 68, 5, '0x10', 16]
[('[0x00063DFA]',), 67, 5, '0x14', 20]
[('[0x00063DDE]',), 66, 4, '0x18', 24]
[('[0x00063DAB]',), 72, 4, '0x2f', 47]
[('[0x00063D83]',), 69, 5, '0x24', 36]
[('[0x00063D6F]',), 68, 5, '0x10', 16]
[('[0x00063D53]',), 67, 5, '0x18', 24]
[('[0x00063D37]',), 66, 4, '0x18', 24]
[('[0x00063D04]',), 72, 4, '0x2f', 47]
[('[0x00063CDC]',), 69, 5, '0x24', 36]
[('[0x00063CC8]',), 68, 5, '0x10', 16]
[('[0x00063CB4]',), 67, 5, '0x10', 16]
[('[0x00063C98]',), 66, 4, '0x18', 24]
[('[0x00063C65]',), 72, 4, '0x2f', 47]
[('[0x00063C3D]',), 69, 5, '0x24', 36]
[('[0x00063C29]',), 68, 5, '0x10', 16]
[('[0x00063C13]',), 67, 5, '0x12', 18]
[('[0x00063BF7]',), 66, 4, '0x18', 24]
[('[0x00063BC4]',), 72, 4, '0x2f', 47]
[('[0x00063B9C]',), 69, 5, '0x24', 36]
[('[0x00063B88]',), 68, 5, '0x10', 16]
[('[0x00063B74]',), 67, 5, '0x10', 16]
[('[0x00063B58]',), 66, 4, '0x18', 24]
[('[0x00063B25]',), 72, 4, '0x2f', 47]
[('[0x00063AFD]',), 69, 5, '0x24', 36]
[('[0x00063AE9]',), 68, 5, '0x10', 16]
[('[0x00063ACF]',), 67, 5, '0x16', 22]
[('[0x00063AB3]',), 66, 4, '0x18', 24]
[('[0x00063A80]',), 72, 4, '0x2f', 47]
[('[0x00063A58]',), 69, 5, '0x24', 36]
[('[0x00063A44]',), 68, 5, '0x10', 16]
[('[0x00063A26]',), 67, 5, '0x1a', 26]
[('[0x00063A0A]',), 66, 4, '0x18', 24]
[('[0x000639D7]',), 72, 4, '0x2f', 47]
[('[0x000639AF]',), 69, 5, '0x24', 36]
[('[0x0006399B]',), 68, 5, '0x10', 16]
[('[0x00063985]',), 67, 5, '0x12', 18]
[('[0x00063969]',), 66, 4, '0x18', 24]
[('[0x00063936]',), 72, 4, '0x2f', 47]
[('[0x0006390E]',), 69, 5, '0x24', 36]
[('[0x00063902]',), 68, 5, '0x8', 8]
[('[0x000638E6]',), 67, 5, '0x18', 24]
[('[0x000638CA]',), 66, 4, '0x18', 24]
[('[0x00063897]',), 72, 4, '0x2f', 47]
[('[0x0006386F]',), 69, 5, '0x24', 36]
[('[0x0006385B]',), 68, 5, '0x10', 16]
