,/JS,/AA,/OpenAction,/AcroForm,/RichMedia,/Launch,/EmbeddedFile,/XFA,/URI,/F,/GoToE,/Extends,/Annot,/Length,/Filter,/FlateDecode,/XObject,/Encrypt,/CreationDate,/Author,subject,/ModDate,html,Script,powershell.exe,cmd.exe,ascii_c,sys,root,reg,exe,http,domain,filepath,ascii,xml,dll,unescape,%u9090%u9090,getIcon,temptmp,eval,%appdata%,chunk,base64,mkdir,replace,fromCharCode,getAnnots,ip,xref_size,trailer_size,file_size,nof_stream,class
file_3311,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,1,2,0,0,0,0,0,0,1,0,1,3,4,0,0,1,0,0,0,2,0,0,0,0,2,1,0,1,0,0,2.403,10,1
file_3312,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,1,0,1,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,9,9,5.912,8,1
file_3313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,2,2,1,1,1,0,0,0,0,0,0,0,1,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,25,153.029,8,0
file_3314,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,16.347,8,1
file_3315,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,15.778,8,1
file_3316,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,8.072,9,1
file_3317,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,1,2,0,0,0,0,0,0,1,0,1,3,4,0,0,1,0,0,0,2,0,0,0,0,2,0,0,1,0,0,2.465,8,1
file_3318,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29,7,2,0,2,2,1,1,1,2,0,0,0,0,0,0,1,2,6,32,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,52,81.66,61,0
file_3319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,1,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,19,20.286,2,0
file_3320,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,8.097,9,1
